All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N75     L50  L75  # N's per 100 kbp
1758_irida_submission_4654   48                   48                      33                      30                       28                       22                       4874374                 4874374                    4842963                    4824591                     4789919                     4581310                     48         561593          4874374       51.99   279740  128774  6    12   0.00             
1760_irida_submission_4658   28                   28                      24                      23                       22                       16                       4807766                 4807766                    4796369                    4790169                     4774664                     4565387                     28         842686          4807766       52.08   412162  179948  4    8    0.00             
1762_irida_submission_4660   28                   28                      23                      22                       20                       16                       4804593                 4804593                    4791596                    4785396                     4752574                     4610790                     28         773664          4804593       52.07   412162  231408  4    9    0.00             
1766_irida_submission_4662   34                   34                      30                      29                       26                       19                       4803277                 4803277                    4790724                    4784524                     4732685                     4490994                     34         613605          4803277       52.07   270150  161732  6    11   0.00             
1767_irida_submission_4664   35                   35                      31                      30                       26                       21                       4795998                 4795998                    4784606                    4778406                     4714539                     4523736                     35         757752          4795998       52.10   298851  180826  6    11   0.00             
1768_irida_submission_4666   29                   29                      24                      22                       19                       15                       4799279                 4799279                    4786995                    4770921                     4732012                     4602802                     29         938505          4799279       52.09   412030  231407  4    8    0.00             
1769_irida_submission_4668   41                   41                      37                      36                       32                       27                       4798188                 4798188                    4787177                    4780977                     4722758                     4545608                     41         555442          4798188       52.10   203736  138751  9    16   0.00             
1770_irida_submission_4670   26                   26                      20                      19                       18                       14                       4806628                 4806628                    4792102                    4785902                     4775554                     4633895                     26         1022730         4806628       52.07   412162  235663  4    7    0.00             
1771_irida_submission_4672   43                   43                      37                      36                       32                       27                       4800118                 4800118                    4786114                    4779914                     4722630                     4552891                     43         615354          4800118       52.10   179996  122728  8    16   0.00             
1772_irida_submission_4674   27                   27                      22                      21                       20                       16                       4809479                 4809479                    4794514                    4788314                     4777969                     4636310                     27         1022730         4809479       52.07   412096  231407  4    8    0.00             
1773_irida_submission_4676   44                   44                      38                      34                       29                       23                       4805783                 4805783                    4788305                    4760708                     4689645                     4468367                     44         495822          4805783       52.08   250750  127514  7    13   0.00             
1775_irida_submission_4678   41                   41                      34                      30                       29                       23                       4817508                 4817508                    4798091                    4773728                     4763473                     4556734                     41         626246          4817508       52.07   270339  126903  5    12   0.00             
1778_irida_submission_4656   44                   44                      34                      30                       28                       22                       4872879                 4872879                    4852968                    4828942                     4794270                     4582217                     44         561593          4872879       51.99   279740  128774  6    12   0.00             
1783_irida_submission_10146  49                   49                      37                      33                       31                       22                       4875147                 4875147                    4852468                    4828514                     4793842                     4476890                     49         561593          4875147       51.99   279740  128774  6    12   0.00             
1792_irida_submission_4680   50                   50                      38                      34                       29                       22                       4859379                 4859379                    4833368                    4804842                     4698242                     4432654                     50         565412          4859379       52.24   271389  139252  6    12   0.00             
1793_irida_submission_4684   49                   49                      36                      32                       28                       20                       4863511                 4863511                    4835492                    4805002                     4718618                     4410164                     49         542874          4863511       52.24   271198  149895  6    12   0.00             
1797_irida_submission_4682   20                   20                      16                      15                       15                       12                       4728046                 4728046                    4716706                    4710620                     4710620                     4609770                     20         1505107         4728046       52.12   490432  401284  3    5    0.00             
1803_irida_submission_4686   52                   52                      37                      32                       28                       22                       4969403                 4969403                    4932293                    4896055                     4806743                     4589475                     52         585613          4969403       52.19   271389  130705  6    12   0.00             
1811_irida_submission_4688   54                   54                      36                      32                       28                       20                       4868700                 4868700                    4829631                    4801487                     4715103                     4402129                     54         585613          4868700       52.24   267805  139252  6    12   0.00             
1888_irida_submission_4690   47                   47                      38                      32                       28                       22                       4948683                 4948683                    4929196                    4889839                     4800527                     4588125                     47         585613          4948683       52.25   271389  149895  6    12   0.00             
1890_irida_submission_4692   52                   52                      38                      34                       29                       22                       4949668                 4949668                    4921111                    4891130                     4785686                     4520323                     52         585613          4949668       52.25   376792  94014   5    12   0.00             
1891_irida_submission_4694   50                   50                      37                      32                       28                       22                       4945453                 4945453                    4917923                    4883600                     4797216                     4586070                     50         585613          4945453       52.25   236358  139252  6    13   0.00             
1892_irida_submission_4756   51                   51                      43                      40                       31                       23                       5039839                 5039839                    5024662                    5005401                     4835106                     4537860                     51         536624          5039839       52.19   177109  102217  7    15   0.00             
1893_irida_submission_4751   72                   72                      56                      51                       38                       23                       5036457                 5036457                    5003543                    4968475                     4723242                     4159390                     72         565368          5036457       52.20   171211  92747   8    18   0.00             
2003_irida_submission_4758   28                   28                      22                      21                       21                       18                       4726582                 4726582                    4706222                    4700136                     4700136                     4615297                     28         1011589         4726582       52.12   398427  214665  5    9    0.00             
2005_irida_submission_4761   25                   25                      19                      18                       18                       16                       4730129                 4730129                    4715470                    4709341                     4709341                     4650098                     25         968342          4730129       52.12   401095  280941  4    8    0.00             
3125_irida_submission_4766   46                   46                      38                      34                       31                       22                       4672423                 4672423                    4656478                    4632140                     4591404                     4230360                     46         802929          4672423       52.26   273679  98444   6    13   0.00             
3126_irida_submission_4768   63                   63                      48                      43                       34                       23                       4960238                 4960238                    4930944                    4895057                     4705513                     4281287                     63         565444          4960238       52.20   184677  94014   7    16   0.00             
3128_irida_submission_4772   92                   92                      79                      71                       53                       33                       4954979                 4954979                    4925638                    4866799                     4526031                     3811694                     92         406289          4954979       52.22   101789  55953   16   32   0.00             
3132_irida_submission_4774   47                   47                      36                      31                       27                       22                       4912934                 4912934                    4890265                    4856393                     4804897                     4629707                     47         633931          4912934       51.96   333928  138271  6    11   0.00             
3133_irida_submission_4797   32                   32                      22                      20                       19                       13                       4711240                 4711240                    4689879                    4677464                     4662293                     4425880                     32         714819          4711240       52.23   506982  354406  4    7    0.00             
3134_irida_submission_4799   44                   44                      33                      30                       25                       20                       4912059                 4912059                    4891765                    4873803                     4800406                     4618329                     44         745839          4912059       51.97   328835  152831  5    10   0.00             
3135_irida_submission_4801   33                   33                      21                      20                       19                       13                       4711336                 4711336                    4683687                    4676755                     4661584                     4425827                     33         1513837         4711336       52.23   364273  293816  4    7    0.00             
3137_irida_submission_4803   42                   42                      31                      30                       28                       21                       4709304                 4709304                    4683562                    4676630                     4648733                     4371330                     42         1041441         4709304       52.23   281298  143439  5    11   0.00             
